-1;-1;-1;99;99;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
-1;-1;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
-1;-1;;;;;;;l;l;l;;-1;-1;k;k;-1;-1;-1;-1
-1;o;;;;;;;;;;;;;;k;k;-1;-1;-1
-1;o;;;;;;;;;;;;;;;k;k;-1;-1
-1;o;;;;;m;m;m;m;m;;;;;;;k;k;-1
-1;;;;;;m;m;m;m;m;;-1;-1;;;;;k;-1
-1;n;;;;;;;;;;;-1;-1;;;;;k;-1
-1;n;n;n;n;;;;;;;;-1;-1;;;;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;-1;-1;-1
-1;;c;c;;d;d;;e;e;e;e;e;e;;;;j;j;-1
-1;;;;;;;;;;;;;;;;;;j;-1
-1;b;;;;;;;;;;;;;;;;;;-1
-1;b;;;;;f;f;;;;;g;g;g;;;;i;-1
-1;;;;;;f;f;;;;;g;g;g;;;;i;-1
-1;a;;;;;;;;;;;;;;;;;i;-1
-1;a;;;;-1;;;;;;;;;;;;;i;-1
-1;;;;;-1;-1;-1;h;h;h;h;;i;i;i;i;i;i;-1
-1;-1;-1;11;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
